a,b, 3.5
a,c, 6.5
a,d, 2.7
a,f, 0.4
a,g, 2.4
a,i, 9.0
a,j, 0.2
a,k, 1.3
a,l, 6.9
a,m, 3.0
a,n, 15.2
a,p, 4.1
a,r, 17.8
a,s, 6.7
a,t, 17.4
a,u, 3.6
a,v, 2.5
a,w, 0.3
a,y, 1.4
a,z, 0.3
b,a, 1.4
b,b, 0.3
b,e, 2.1
b,i, 1.1
b,l, 6.0
b,m, 0.1
b,o, 4.8
b,r, 0.5
b,s, 0.7
b,t, 0.2
b,u, 0.4
b,y, 0.1
c,a, 4.7
c,c, 1.8
c,e, 4.2
c,h, 2.3
c,i, 3.5
c,k, 1.2
c,l, 1.7
c,o, 3.5
c,q, 0.1
c,r, 2.0
c,s, 0.1
c,t, 5.2
c,u, 1.9
c,y, 0.6
d,a, 1.2
d,d, 1.3
d,e, 9.0
d,f, 0.1
d,g, 0.6
d,h, 0.1
d,i, 3.9
d,j, 0.1
d,l, 02
d,m, 0.5
d,n, 0.3
d,o, 1.5
d,r, 1.8
d,s, 0.4
d,t, 0.1
d,u, 1.7
d,v, 0.5
d,w, 0.1
d,y, 1.5
e,a, 17.4
e,b, 0.4
e,c, 10.1
e,d, 1.9
e,e, 5.0
e,f, 3.6
e,g, 2.8
e,h, 0.9
e,i, 2.5
e,j, 0.1
e,k, 0.1
e,l, 9.4
e,m, 6.0
e,n, 19.9
e,o, 1.7
e,p, 3.3
e,q, 0.5
e,r, 27.6
e,s, 16.2
e,t, 9.0
e,u, 0.2
e,v, 5.6
e,w, 0.7
e,x, 0.1
e,y, 0.2
e,z, 0.1
f,a, 0.7
f,e, 2.5
f,f, 2.9
f,i, 2.4
f,l, 0.5
f,o, 3.1
f,r, 0.3
f,t, 3.4
f,u, 1.9
f,y, 0.4
g,a, 4.2
g,d, 0.1
g,e, 2.9
g,g, 0.4
g,h, 11.1
g,i, 1.7
g,l, 0.7
g,m, 0.1
g,n, 0.6
g,o, 0.4
g,r, 1.4
g,s, 0.1
g,t, 0.3
g,u, 1.3
g,y, 0.3
h,a, 5.7
h,b, 0.2
h,d, 0.1
h,e, 22.0
h,f, 0.2
h,i, 18.7
h,l, 0.4
h,m, 0.2
h,n, 0.1
h,o, 11.0
h,r, 3.6
h,t, 0.9
h,u, 0.4
h,w, 0.2
h,y, 0.2
i,a, 3.0
i,b, 2.1
i,c, 12.2
i,d, 3.9
i,e, 5.7
i,f, 2.4
i,g, 10.4
i,k, 0.4
i,l, 9.9
i,m, 3.3
i,n, 32.2
i,o, 40.5
i,p, 0.8
i,q, 0.1
i,r, 5.2
i,s, 10.1
i,t, 14.2
i,u, 0.2
i,v, 14.5
i,x, 0.3
i,z, 1.3
j,a, 0.1
j,e, 0.6
j,o, 0.4
j,u, 0.2
k,a, 0.1
k,e, 2.0
k,f, 0.1
k,i, 0.6
k,l, 0.5
k,n, 0.3
k,s, 0.1
k,w, 0.1
k,y, 0.1
l,a, 8.5
l,b, 0.1
l,c, 0.2
l,d, 2.3
l,e, 7.3
l,f, 0.1
l,g, 0.1
l,i, 7.6
l,k, 0.1
l,l, 6.6
l,m, 0.9
